season,gonzalez,jeter,ordóñez,rentería,rodriguez
1994,-0.1,0,0,0,-0.3
1995,0.7,-0.3,0,0,-0.7
1996,2.9,3.0,0.9,3.2,8.7
1997,5.1,8.0,1.2,4.1,14.4
1998,5.7,15.5,-0.5,5.0,22.9
1999,7.0,23.5,2.3,6.1,27.7
2000,7.7,28.1,1.5,8.3,38.1
2001,9.7,33.3,1.4,9.8,46.4
2002,9.9,37.0,0.9,14.0,55.2
2003,11.1,40.6,1.6,19.6,63.6
2004,10.2,44.8,1.2,21.7,71.2,
2005,11.8,48.6,1.2,23.1,80.6,
2006,11.2,54.2,1.2,27.3,85.1,
2007,11.2,58.1,1.2,31.4,94.5,
2008,11.2,61.1,1.2,32.5,101.3,
2009,11.2,67.7,1.2,31.1,105.5,
2010,11.2,69.4,1.2,31.7,109.7,
2011,11.2,70.8,1.2,32.3,113.7,
2012,11.2,73.0,1.2,32.3,115.9,
2013,11.2,72.3,1.2,32.3,116.2,
2014,11.2,72.4,1.2,32.3,116.2,
2015,11.2,72.4,1.2,32.3,119.1,
2016,11.2,72.4,1.2,32.3,117.8